asset_id,asset_type,asset_status,laptop_model,manufacturer,assigned_to,assignment_date,operating_system,processor_type,ram_size,storage_size,last_service_date,next_service_due_date,repair_history,end_of_life_date,replacement_recommendation,asset_utilisation_score,incident_count
Z3SF3DU3,laptop,assigned,lenovo ideapad,lenovo,1136,2023-04-18,windows 10,amd ryzen 5,32 gb,1 tb hdd,2024-01-05,2024-05-04,major repairs,2025-07-20,no replacement needed,0.65,0
IT3VWNHL,laptop,retired,dell inspiron,dell,1137,2023-01-25,windows 10,intel core i7,8 gb,1 tb hdd,2024-01-04,2024-05-31,minor repairs,2025-05-16,replace soon,0.6,1
LIL4P2BV,laptop,assigned,hp pavilion,hp,1138,2023-01-14,windows 10,intel core i7,8 gb,1 tb hdd,2024-01-31,2024-05-17,major repairs,2025-12-16,replace soon,0.55,7
U415DRV0,laptop,retired,lenovo ideapad,lenovo,1139,2023-01-29,ubuntu 20.04,intel core i7,32 gb,256 gb ssd,2024-01-17,2024-05-17,major repairs,2025-12-20,replace soon,0.7,6
KCBWP4AQ,laptop,assigned,hp pavilion,hp,1140,2023-04-22,windows 10,amd ryzen 5,32 gb,256 gb ssd,2024-01-24,2024-05-20,minor repairs,2025-06-29,replace soon,0.96,0
TUGPXPGK,laptop,retired,macbook air,apple,1141,2023-04-05,macos big sur,amd ryzen 5,16 gb,1 tb hdd,2024-01-04,2024-05-10,minor repairs,2025-09-02,replace soon,0.82,9
RH6PVFU3,laptop,retired,dell inspiron,dell,1142,2023-05-21,windows 10,amd ryzen 5,16 gb,256 gb ssd,2024-01-03,2024-05-04,minor repairs,2025-03-12,no replacement needed,0.57,7
Z77ETZ9V,laptop,in repair,dell inspiron,dell,1143,2023-01-28,macos big sur,intel core i7,8 gb,1 tb hdd,2024-01-08,2024-05-22,minor repairs,2025-03-21,no replacement needed,0.9,1
OC9GZ1XC,laptop,assigned,lenovo ideapad,lenovo,1144,2023-05-13,ubuntu 20.04,intel core i7,8 gb,256 gb ssd,2024-01-07,2024-05-21,major repairs,2025-01-21,replace soon,0.7,4
ZVM0Y644,laptop,retired,hp pavilion,hp,1145,2023-05-10,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-08,2024-05-07,major repairs,2025-11-30,no replacement needed,0.6,3
X3M7CSSG,laptop,retired,macbook pro,apple,1146,2023-05-04,ubuntu 20.04,intel core i7,32 gb,512 gb ssd,2024-01-15,2024-05-21,no repairs,2025-09-13,no replacement needed,0.69,6
E8525EHC,laptop,assigned,macbook air,apple,1147,2023-02-20,windows 10,intel core i7,16 gb,256 gb ssd,2024-01-30,2024-05-07,no repairs,2025-03-13,replace soon,0.73,7
ECWTG8C7,laptop,in repair,macbook pro,apple,1148,2023-01-16,ubuntu 20.04,intel core i5,32 gb,512 gb ssd,2024-01-18,2024-05-16,minor repairs,2025-09-07,no replacement needed,0.71,2
KY6L7VJW,laptop,in repair,lenovo ideapad,lenovo,1149,2023-01-09,ubuntu 20.04,intel core i5,16 gb,256 gb ssd,2024-01-19,2024-05-27,minor repairs,2025-11-06,replace soon,0.83,9
QVUJQFDQ,laptop,assigned,macbook air,apple,1150,2023-05-14,ubuntu 20.04,amd ryzen 5,16 gb,1 tb hdd,2024-01-09,2024-05-13,major repairs,2025-12-28,replace soon,0.96,5
A69BIABT,laptop,assigned,macbook pro,apple,1151,2023-04-15,ubuntu 20.04,amd ryzen 5,32 gb,512 gb ssd,2024-01-24,2024-05-23,no repairs,2025-10-09,no replacement needed,0.66,7
115T1HEB,laptop,retired,lenovo ideapad,lenovo,1152,2023-05-27,macos big sur,intel core i7,16 gb,1 tb hdd,2024-01-08,2024-05-31,no repairs,2025-11-27,no replacement needed,0.87,8
YLPQOOER,laptop,retired,dell inspiron,dell,1153,2023-02-14,macos big sur,intel core i5,8 gb,512 gb ssd,2024-01-05,2024-05-19,minor repairs,2025-06-13,no replacement needed,0.98,4
9C7OXGFN,laptop,retired,macbook pro,apple,1154,2023-05-10,windows 10,intel core i5,32 gb,1 tb hdd,2024-01-25,2024-05-08,no repairs,2025-01-14,replace soon,0.91,4
PC14X6S0,laptop,in repair,hp pavilion,hp,1155,2023-02-20,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-17,2024-05-02,minor repairs,2025-11-06,no replacement needed,0.52,1
XG5UPISJ,laptop,assigned,dell inspiron,dell,1156,2023-04-07,windows 10,intel core i7,16 gb,256 gb ssd,2024-01-14,2024-05-05,no repairs,2025-05-20,replace soon,0.69,5
1VG14VNP,laptop,retired,macbook pro,apple,1157,2023-01-07,macos big sur,amd ryzen 5,16 gb,256 gb ssd,2024-01-26,2024-05-05,minor repairs,2025-05-09,replace soon,0.7,2
2QWH3IOC,laptop,in repair,hp pavilion,hp,1158,2023-05-19,macos big sur,amd ryzen 5,16 gb,512 gb ssd,2024-01-11,2024-05-21,minor repairs,2025-12-10,replace soon,0.96,9
GNI4J0NG,laptop,assigned,hp pavilion,hp,1159,2023-02-01,macos big sur,intel core i5,8 gb,1 tb hdd,2024-01-29,2024-05-24,no repairs,2025-06-07,no replacement needed,0.65,0
OCQ4UVQE,laptop,assigned,lenovo ideapad,lenovo,1160,2023-02-06,windows 10,intel core i5,8 gb,1 tb hdd,2024-01-15,2024-05-25,minor repairs,2025-01-15,no replacement needed,0.97,2
2F10J0R8,laptop,assigned,dell inspiron,dell,1161,2023-03-19,windows 10,intel core i5,32 gb,1 tb hdd,2024-01-06,2024-05-25,minor repairs,2025-02-26,no replacement needed,0.6,8
68V7UO4T,laptop,retired,hp pavilion,hp,1162,2023-05-23,ubuntu 20.04,intel core i5,8 gb,512 gb ssd,2024-01-10,2024-05-06,no repairs,2025-03-28,no replacement needed,0.71,6
KQLIGJ9W,laptop,in repair,macbook air,apple,1163,2023-04-22,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-02-01,2024-05-05,minor repairs,2025-06-23,replace soon,0.65,7
EDLRSBQ2,laptop,retired,dell inspiron,dell,1164,2023-04-21,ubuntu 20.04,amd ryzen 5,16 gb,512 gb ssd,2024-01-01,2024-05-21,major repairs,2025-04-17,replace soon,0.83,4
4T0T0KXE,laptop,retired,dell inspiron,dell,1165,2023-05-25,ubuntu 20.04,intel core i5,8 gb,512 gb ssd,2024-01-02,2024-05-23,no repairs,2025-05-28,no replacement needed,0.72,3
A4TK3QF1,laptop,in repair,macbook air,apple,1166,2023-01-06,windows 10,intel core i5,8 gb,512 gb ssd,2024-01-08,2024-05-17,minor repairs,2025-01-18,no replacement needed,0.7,7
BGN24F32,laptop,assigned,lenovo ideapad,lenovo,1167,2023-02-03,windows 10,amd ryzen 5,16 gb,512 gb ssd,2024-01-04,2024-06-01,major repairs,2025-10-23,no replacement needed,0.99,3
YURHDL5Z,laptop,assigned,hp pavilion,hp,1168,2023-03-10,macos big sur,intel core i7,8 gb,1 tb hdd,2024-01-22,2024-05-13,minor repairs,2025-09-24,no replacement needed,0.91,4
K8C9MWZJ,laptop,in repair,hp pavilion,hp,1169,2023-04-10,macos big sur,intel core i5,16 gb,1 tb hdd,2024-01-08,2024-05-14,major repairs,2025-06-07,no replacement needed,0.98,5
EJNQUQX0,laptop,in repair,lenovo ideapad,lenovo,1170,2023-01-24,ubuntu 20.04,amd ryzen 5,32 gb,512 gb ssd,2024-01-13,2024-05-31,minor repairs,2025-04-17,no replacement needed,0.8,8
UHEDTM3Z,laptop,in repair,hp pavilion,hp,1171,2023-03-06,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-02-01,2024-05-16,minor repairs,2025-12-25,no replacement needed,0.9,8
17JIQE15,laptop,assigned,macbook pro,apple,1172,2023-05-24,windows 10,intel core i5,32 gb,256 gb ssd,2024-01-28,2024-05-12,no repairs,2025-05-10,no replacement needed,0.74,9
HT6E4YWE,laptop,retired,macbook air,apple,1173,2023-01-10,macos big sur,intel core i5,16 gb,1 tb hdd,2024-01-08,2024-05-30,no repairs,2025-08-09,no replacement needed,0.9,2
WJ052OF8,laptop,in repair,macbook air,apple,1174,2023-01-08,windows 10,intel core i5,8 gb,512 gb ssd,2024-01-30,2024-05-21,major repairs,2025-01-10,no replacement needed,0.86,8
SCAU1N71,laptop,assigned,macbook pro,apple,1175,2023-04-22,ubuntu 20.04,intel core i5,16 gb,256 gb ssd,2024-01-14,2024-05-24,no repairs,2025-06-03,no replacement needed,0.85,3
PXSS3I2H,laptop,assigned,hp pavilion,hp,1176,2023-03-29,windows 10,intel core i7,8 gb,512 gb ssd,2024-01-24,2024-05-02,major repairs,2025-10-01,no replacement needed,0.99,0
YB0IB8BK,laptop,assigned,hp pavilion,hp,1177,2023-02-19,macos big sur,intel core i7,16 gb,256 gb ssd,2024-01-24,2024-05-25,no repairs,2025-02-21,no replacement needed,0.77,8
47CT183H,laptop,assigned,macbook pro,apple,1178,2023-04-10,ubuntu 20.04,intel core i5,32 gb,1 tb hdd,2024-01-23,2024-05-09,major repairs,2025-07-24,no replacement needed,0.92,6
1JBM0MBA,laptop,in repair,macbook air,apple,1179,2023-04-17,ubuntu 20.04,amd ryzen 5,8 gb,256 gb ssd,2024-01-17,2024-05-22,major repairs,2025-11-12,no replacement needed,0.87,6
BK27YVLB,laptop,in repair,macbook air,apple,1180,2023-02-03,windows 10,amd ryzen 5,8 gb,512 gb ssd,2024-01-26,2024-06-01,no repairs,2025-07-02,no replacement needed,0.84,4
QFTIVGDL,laptop,assigned,hp pavilion,hp,1181,2023-03-31,macos big sur,intel core i5,32 gb,1 tb hdd,2024-01-15,2024-05-14,major repairs,2025-05-04,replace soon,0.96,3
98ON3A66,laptop,in repair,dell inspiron,dell,1182,2023-03-04,macos big sur,amd ryzen 5,32 gb,512 gb ssd,2024-01-16,2024-05-14,major repairs,2025-04-14,replace soon,0.92,1
I3XH3QSO,laptop,in repair,macbook pro,apple,1183,2023-01-05,macos big sur,intel core i5,32 gb,512 gb ssd,2024-01-10,2024-05-17,no repairs,2025-10-12,replace soon,1.0,7
63NFS6ND,laptop,assigned,macbook pro,apple,1184,2023-04-22,ubuntu 20.04,amd ryzen 5,16 gb,512 gb ssd,2024-01-27,2024-05-06,no repairs,2025-10-23,replace soon,0.91,7
CUW2QOBE,laptop,assigned,macbook pro,apple,1185,2023-01-19,ubuntu 20.04,intel core i5,16 gb,256 gb ssd,2024-01-08,2024-05-10,minor repairs,2025-08-19,replace soon,0.98,4
G58L6MJM,laptop,in repair,hp pavilion,hp,1186,2023-02-02,ubuntu 20.04,intel core i5,16 gb,512 gb ssd,2024-01-18,2024-05-14,no repairs,2025-04-28,replace soon,0.6,8
HA2W6MG6,laptop,assigned,macbook pro,apple,1187,2023-01-13,macos big sur,amd ryzen 5,32 gb,512 gb ssd,2024-01-10,2024-05-16,major repairs,2025-10-27,no replacement needed,0.96,5
1SMT50MH,laptop,assigned,lenovo ideapad,lenovo,1188,2023-02-15,macos big sur,intel core i7,8 gb,256 gb ssd,2024-01-17,2024-05-21,minor repairs,2025-05-07,replace soon,0.78,3
U3VDC75U,laptop,in repair,lenovo ideapad,lenovo,1189,2023-03-05,ubuntu 20.04,intel core i7,16 gb,256 gb ssd,2024-01-11,2024-05-01,minor repairs,2025-03-31,no replacement needed,0.9,9
2WZTPRW8,laptop,assigned,lenovo ideapad,lenovo,1190,2023-01-05,ubuntu 20.04,intel core i5,8 gb,1 tb hdd,2024-01-22,2024-05-09,major repairs,2025-02-17,replace soon,0.85,2
FAIP8MSY,laptop,in repair,lenovo ideapad,lenovo,1191,2023-05-27,windows 10,intel core i5,32 gb,1 tb hdd,2024-01-19,2024-05-16,no repairs,2025-09-20,no replacement needed,0.54,5
AO3PPQGI,laptop,retired,lenovo ideapad,lenovo,1192,2023-01-23,windows 10,intel core i7,32 gb,256 gb ssd,2024-01-14,2024-05-08,major repairs,2025-11-29,no replacement needed,0.74,7
DIUFKQVM,laptop,assigned,dell inspiron,dell,1193,2023-03-20,windows 10,amd ryzen 5,16 gb,256 gb ssd,2024-01-26,2024-05-08,minor repairs,2025-05-16,no replacement needed,0.89,6
7WX8OH28,laptop,retired,dell inspiron,dell,1194,2023-02-02,windows 10,amd ryzen 5,8 gb,1 tb hdd,2024-01-15,2024-05-26,no repairs,2025-05-17,replace soon,0.81,1
MFFVJYE3,laptop,assigned,macbook pro,apple,1195,2023-04-28,windows 10,amd ryzen 5,8 gb,256 gb ssd,2024-01-08,2024-05-08,minor repairs,2025-04-22,no replacement needed,0.6,5
H2EINM2J,laptop,assigned,hp pavilion,hp,1196,2023-04-08,ubuntu 20.04,amd ryzen 5,8 gb,512 gb ssd,2024-01-01,2024-05-08,no repairs,2025-02-11,no replacement needed,0.72,9
GV9XU32S,laptop,in repair,macbook pro,apple,1197,2023-02-23,windows 10,intel core i7,8 gb,1 tb hdd,2024-01-06,2024-05-23,major repairs,2025-10-06,no replacement needed,0.85,5
MFU8Q4ME,laptop,in repair,macbook air,apple,1198,2023-05-08,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-13,2024-05-28,major repairs,2025-09-24,replace soon,0.51,3
G9IAF5F3,laptop,in repair,macbook pro,apple,1199,2023-03-24,ubuntu 20.04,intel core i7,32 gb,1 tb hdd,2024-01-14,2024-05-15,no repairs,2025-09-30,no replacement needed,0.57,8
JA0QGF4B,laptop,retired,lenovo ideapad,lenovo,1200,2023-02-23,macos big sur,amd ryzen 5,16 gb,256 gb ssd,2024-01-10,2024-05-02,major repairs,2025-07-31,no replacement needed,0.87,2
C9LI2U61,laptop,assigned,macbook air,apple,1201,2023-02-10,windows 10,intel core i5,8 gb,512 gb ssd,2024-01-01,2024-05-21,major repairs,2025-02-02,replace soon,0.88,9
BJXBMDRV,laptop,in repair,macbook air,apple,1202,2023-02-23,ubuntu 20.04,intel core i5,8 gb,256 gb ssd,2024-01-29,2024-05-24,no repairs,2025-06-03,no replacement needed,0.94,1
839TKAON,laptop,assigned,macbook air,apple,1203,2023-01-18,macos big sur,intel core i7,32 gb,256 gb ssd,2024-01-14,2024-05-16,major repairs,2025-06-22,no replacement needed,0.8,5
7S8Q22AJ,laptop,in repair,macbook air,apple,1204,2023-03-13,windows 10,intel core i7,32 gb,512 gb ssd,2024-01-29,2024-05-25,no repairs,2025-11-19,replace soon,0.92,8
1X6L4QBS,laptop,assigned,macbook air,apple,1205,2023-03-02,ubuntu 20.04,amd ryzen 5,8 gb,256 gb ssd,2024-01-05,2024-05-08,minor repairs,2025-10-29,replace soon,0.76,8
4D8QFXDI,laptop,in repair,macbook pro,apple,1206,2023-05-05,macos big sur,intel core i5,32 gb,1 tb hdd,2024-01-06,2024-05-09,major repairs,2025-08-17,replace soon,0.6,3
AZNEFHOJ,laptop,retired,macbook pro,apple,1207,2023-01-03,windows 10,intel core i5,8 gb,512 gb ssd,2024-01-05,2024-05-31,major repairs,2025-10-27,no replacement needed,0.54,3
V4BVT6TM,laptop,in repair,dell inspiron,dell,1208,2023-01-30,ubuntu 20.04,intel core i7,16 gb,256 gb ssd,2024-02-01,2024-05-26,major repairs,2025-11-12,replace soon,0.89,1
JM07SOAY,laptop,in repair,lenovo ideapad,lenovo,1209,2023-05-21,ubuntu 20.04,amd ryzen 5,16 gb,512 gb ssd,2024-01-13,2024-05-02,no repairs,2025-06-19,no replacement needed,0.92,6
WNEYJUPT,laptop,retired,macbook air,apple,1210,2023-03-15,windows 10,intel core i5,16 gb,512 gb ssd,2024-01-29,2024-05-23,minor repairs,2025-07-18,replace soon,0.57,2
G390GJJR,laptop,in repair,dell inspiron,dell,1211,2023-05-30,windows 10,intel core i5,8 gb,1 tb hdd,2024-01-23,2024-05-18,no repairs,2025-06-04,replace soon,0.63,5
GIBOLL93,laptop,assigned,lenovo ideapad,lenovo,1212,2023-02-06,ubuntu 20.04,amd ryzen 5,8 gb,1 tb hdd,2024-01-23,2024-05-03,no repairs,2025-08-14,no replacement needed,0.75,7
4K2L4DM9,laptop,in repair,macbook air,apple,1213,2023-03-14,macos big sur,amd ryzen 5,32 gb,256 gb ssd,2024-01-14,2024-05-15,major repairs,2025-09-23,no replacement needed,0.78,5
1FZF8TAH,laptop,in repair,macbook air,apple,1214,2023-03-05,windows 10,intel core i5,8 gb,256 gb ssd,2024-01-31,2024-05-19,minor repairs,2025-05-28,replace soon,0.89,5
JAXRYIOJ,laptop,assigned,macbook pro,apple,1215,2023-02-07,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-01-16,2024-05-29,minor repairs,2025-07-07,no replacement needed,0.56,0
OL1Y94PT,laptop,assigned,hp pavilion,hp,1216,2023-05-30,macos big sur,intel core i7,16 gb,256 gb ssd,2024-01-25,2024-05-08,no repairs,2025-02-23,no replacement needed,0.56,1
WAGRL8EK,laptop,in repair,dell inspiron,dell,1217,2023-05-23,macos big sur,amd ryzen 5,8 gb,512 gb ssd,2024-01-02,2024-05-03,no repairs,2025-07-23,no replacement needed,0.93,5
SO6CY0B5,laptop,assigned,macbook air,apple,1218,2023-05-22,ubuntu 20.04,intel core i7,32 gb,512 gb ssd,2024-01-18,2024-05-01,minor repairs,2025-12-23,replace soon,0.51,2
456MWWHS,laptop,retired,macbook pro,apple,1219,2023-03-21,ubuntu 20.04,intel core i5,8 gb,1 tb hdd,2024-01-14,2024-05-18,no repairs,2025-01-05,no replacement needed,0.79,1
VTKKFDR6,laptop,assigned,macbook air,apple,1220,2023-05-12,ubuntu 20.04,intel core i7,8 gb,1 tb hdd,2024-01-30,2024-05-30,major repairs,2025-04-11,no replacement needed,0.96,1
